job_url,site,title,company,location,job_type,date_posted,interval,min_amount,max_amount,currency,is_remote,num_urgent_words,benefits,emails,description
https://www.indeed.com/viewjob?jk=71e4b2c38e2c740a,indeed,Senior Network Analyst,Rogers Corporation,"Rogers, CT, USA",fulltime,7/20/2023,yearly,80400,105000,USD,TRUE,0,,,"Summary: Rogers Corporation currently has an opening for a Hybrid Network Analyst 2 in Woodstock, CT. ONLY applicants in RI/CT/MA will be considered. This position does not offer sponsorship nor relocation. The Hybrid Network Anayst 2 is responsible for the design, development, implementation, documentation, and maintenance of effective network/security systems to meet customer and strategic goals. Develops network/security standards and operating procedures for IT staff and customers. Essential Functions: Design, develop, and document network/security systems that enhance user expertise with regards to IT applications and systems. May provide training of IT staff and customers. Develops standards. Designs and prepares instructional manuals, video tutorials, and classroom sessions in support of developed solutions. Work with IT staff and customers to analyze and solve business problems using network/security solutions. Works on complex and high impact issues. Understands business objectives and problems, identifies alternative solutions, performs feasibility studies, cost/benefit analysis and suggests the best course of action. Contribute to cross functional project teams that address customer initiatives or IT infrastructure needs. May develop and disseminate training in areas of focused responsibility to IT staff and customers. Provide problem resolution of reported network/security issues reported via IT team members, automated notifications, and IT Request system in compliance with applicable SLA (Service Level Agreement). Provide support to junior staff members who cannot find resolutions to open issues. Qualifications: Bachelor’s degree in Computer Science. IT or related field 5 + years of technical experience in the area of network/security where expertise has been gained in problem solving techniques, design methods and driving for results Network design methods Team Project Management Technical writing for internal/external department use Customer focus through training or experience In-depth process documentation and review Analytical problem solving techniques and application to IT issues Negotiating with peers and customers Preferred Education and Experience: CCNP (Cisco Certified Network Professional) Preferred Skills and Abilities: Presentation Skills Influencing Others (without authority) In depth layer 2 / layer 3 knowledge Cisco WLC (wireless LAN controller) Cisco ASA / Fortigate / Checkpoint firewalls Silverpeak SD-WAN appliance MS Azure Job Type: Full-time Pay: $80,400.00 - $105,000.00 per year Benefits: 401(k) matching Health insurance Health savings account Paid time off Referral program Vision insurance Schedule: 8 hour shift Work Location: Hybrid remote in Rogers, CT 06263"
https://www.indeed.com/viewjob?jk=cd027f997b1c6ca3,indeed,Software Test Engineer,Belcan,"Windsor, CT, USA",fulltime,10/25/2023,,,,,TRUE,0,,,"A REMOTE Software Verification/Testing Engineer job is currently available at Belcan. This is a full-time direct position with benefits, working remotely from anywhere in the U.S. To be considered, you will need a Bachelor's of Science Degree in Computer Science, Software Engineering, Computer Engineering, Aerospace Engineering or a similar discipline, and 5 or more years of relevant experience. In this job, you will support requirements based testing, verification and validation of software. Software Verification/Testing Engineer job duties include: Use your skills and expertise to test, verify, validate and certify cutting-edge software products. Perform verification, validation, debugging, and troubleshooting of systems and software throughout the software development process. Develop Cases and Procedures to test various levels of requirements . Assist with automation/tooling and environment setup as needed Job Qualifications: BS or MS degree in Computer Science, Software Engineering, Computer Engineering, Aerospace Engineering or a similar discipline Experience working in regulated industries (e.g. aerospace, defense) Experience with engineering standards such as DO-178, DO-160, DO-254, ARP 4754 Avionics experience Fully proficient in C and Git/GitLab Fully proficient in Python . Experience developing verification cases and procedures Self-motivated, adaptable, highly organized and possess excellent communication abilities Ability to apply software engineering skills with little to no mentoring or training US Citizenship only Desired Skills: Experience with large Space Design Programs or Space Flight Operations Belcan provides a competitive pay and benefits package. Benefits offered may include health, dental, vision, and life insurance; 401(k); education assistance; paid time off including PTO, holidays, and paid leave required by law. Salary guidelines for similar roles at Belcan are $90,000 to $130,000. Guidelines vary based on many factors, including but not limited to education, qualifications, experience, discipline, geographic location, market and business considerations. As an employee with Belcan, you will be part of one of the largest engineering firms in the United States. We maintain a small-company atmosphere as well as open communication at all levels of our organization, allowing for much more dynamic decision-making processes. We offer flexible schedules as well as an excellent mentoring system to ensure that you have all the knowledge and tools you need to meet a diverse range of engineering challenges. You will also have opportunities to advance to positions of greater responsibility, including management roles. Your hard work and professional dedication will be rewarded with a competitive compensation package. Build a challenging and rewarding career with an industry leader! www.belcan.com We are an Equal Opportunity/Affirmative Action Employer. We consider applicants without regard to race, color, religion, age, national origin, ancestry, ethnicity, gender, gender identity, gender expression, sexual orientation, marital status, veteran status, disability, genetic information, or membership in any other group protected by federal, state, or local laws."
https://www.indeed.com/viewjob?jk=568e378226d50f00,indeed,Financial Systems Analyst,The Chefs' Warehouse,"Ridgefield, CT, USA",fulltime,7/6/2023,,,,,FALSE,0,,,"About The Chefs' Warehouse The Chefs' Warehouse, Inc. (http://www.chefswarehouse.com) combines exceptional quality and brand building with broadline food service distribution for more than 35 years. With Protein, Specialty, Produce, and Broadline offerings, we service the most discerning chefs in a hybrid approach of convenience and superior quality. We introduce more than 2,000 artisan producers of the world’s finest ingredients from over 40 countries to the finest chefs in the world. We passionately consult, sell, and build relationships with more than 35,000 customers through the most experienced network of over 600 consultive sales associates, best-in-breed technology, rapid service, and support levels that solidify our long-standing ties to both established and up-and-coming premium restaurants. Mission: The mission of The Chefs’ Warehouse is to provide the world’s greatest ingredients to the world’s best chefs. Our C.H.E.F.S. Values: Curious & Creative Hungry For Food & Results Entrepreneurial Forward Thinking & Flexible Supportive (Of Peers & Chefs) Position Summary: Seeking a JD Edwards E1 Sales Business System Analyst with a minimum of three to five (3-5) years’ experience to help support existing sites and continue the national implementation. Experience is required with JDE Sales Order management, Advanced Pricing setup & configurations, financial modules, and AAIs and DMAAIs setup. Experience with Purchasing and other Supply Chain modules and Manufacturing accounting & financial accounting is a plus. Candidate will need strong written and verbal communications skills. Will help with the design, configuration, and deployment of enhancements and implementation projects. Identify and assess business system needs by working with the business and project management to create logical solutions using JDE applications. Perform research to create functional designs that when developed and implemented will meet business needs. The position requires the ability to configure and test the JDE software application to meet those business needs. What you’ll do: Coordinate with the implementation / upgrade team the project on the development requests, prepare development estimates & timelines, prioritize development among the development team and ensure on time delivery of quality system applications. Work with business on the complex business requirements, to document requirements, assess functional solution options, configuring the environment to test the options, complete the functional specification, work with the development team to ensure understanding of the functional design and test the final business solution. Coordinate with the business to ensure all program changes have been tested and approved before requesting the system administrator to promote completed projects to production. Coordinate with the business on continuous improvement projects from both a technology and business process perspective. About you: Bachelor’s Degree in information technology / computer science 3-5 years’ experience with JDE Edwards Enterprise One in functional areas primarily sales and distribution but also including finance, procurement, manufacturing, inventory, and logistics. 3-5 years’ experience on project implementations, either application upgrades or roll outs to additional locations. 3 years of experience in developing and executing test scenarios for application logic, user interfaces, data interfaces and reports. Strong analytical and troubleshooting skills to help resolve production issues. 3 years of experience writing functional specifications for business enhancements, reports, data conversions, interfaces and EDI transactions that are in accordance with SOX requirements.#IND1 The above job description is not an all-inclusive list of duties and standards of the position. Incumbents will follow any other instructions, and perform any other related duties as assigned by their supervisor. Perks & Benefits: Paid Vacations, Paid Holidays Health, Dental and Medical Benefits Weekly pay Life Insurance 5% above cost for our high-quality food products Employee discounts for travel and events 401k The Chefs' Warehouse is an Equal Opportunity Employer that does not discriminate based on actual or perceived race, creed, color, religion, alienage or national origin, ancestry, citizenship status, age, disability or handicap, sex, marital status, veteran status, sexual orientation, pregnancy, gender identity or any other characteristic protected by applicable federal, state, or local laws. We also consider qualified applicants with criminal histories, consistent with applicable federal, state and local law. Our management team is dedicated to this policy with respect to recruitment, hiring, placement, promotion, transfer, training, compensation, benefits, employee activities and general treatment during employment. We are dedicated to building an inclusive and diverse workforce."
https://www.indeed.com/viewjob?jk=7505bf663106e44a,indeed,Admissions - Application Reader,Sacred Heart University,"Fairfield, CT, USA",,10/6/2023,,,,,FALSE,0,,,"As the second-largest independent Catholic university in New England, and one of the fastest-growing private doctoral institutions in the U.S., Sacred Heart University is a national leader in shaping higher education for the 21st century. SHU offers nearly 90 undergraduate, graduate, doctoral and certificate programs on its Fairfield, Conn., campus. Sacred Heart also has a campus in Dingle, Ireland, and offers online programs. More than 10,000 students attend the University’s nine colleges and schools: Arts & Sciences; Communication, Media & the Arts; Social Work; Computer Science & Engineering; Health Professions; the Isabelle Farrington College of Education & Human Development; the Jack Welch College of Business & Technology; the Dr. Susan L. Davis, R.N., & Richard J. Henley College of Nursing; and St. Vincent’s College. Sacred Heart stands out from other Catholic institutions as it was established and led by laity. The contemporary Catholic university is rooted in the rich Catholic intellectual tradition and the liberal arts, and at the same time cultivates students to be forward thinkers who enact change—in their own lives, professions and in their communities. The Princeton Review includes SHU in its Best 388 Colleges–2023 Edition, and Best Business Schools–2023 Edition. Sacred Heart is home to the award-winning, NPR-affiliated radio station, WSHU, a Division I athletics program and an impressive performing arts program that includes choir, band, dance and theatre. www.sacredheart.edu Position Summary Working from November 6 through January 26, the Seasonal Application Reader will be responsible for reviewing first-year applications. Principal Duties & Responsibilities Attend training sessions beginning November 1 and participate in the full application reading cycle through the end of January. Meet weekly reading goals and be able to devote 15 - 20 hours per week Review first-year applications, including high school transcripts, personal essays, recommendation letters, standardized test scores (if applicable) and other application materials. Submit detailed application evaluations. Maintain consistent communication with the Admissions Leadership Team and follow specific instructions and procedures. Perform other essential duties and tasks specific to the position as assigned. Knowledge, Skills, Abilities & Other Attributes Bachelor's Degree required. Ability to read a large volume of files efficiently to expectation and meet specific deadlines. Strong reading and writing skills with an emphasis on attention to detail. Have own laptop or desktop computer, reliable internet connection, cell phone or house phone Ability to be proactive and work collaboratively as well as independently as part of the Admissions team. Sensitivity to the needs of differing student groups. Well-developed computer skills and the ability to quickly learn new systems. Prior experience in admissions will be given preference. Unusual Working Conditions Application reading during the week of Christmas and New Year’s break Sacred Heart University is a space that respects and embraces differences, recognizes the unique contributions that individuals can make, and creates a community that maximizes the potential of all faculty and staff. As an equal opportunity employer, we encourage applications from qualified candidates who reflect the wider world in which we live."
https://www.indeed.com/viewjob?jk=b4b7658e21f0f3ac,indeed,Software Engineer,CVS Health,"Hartford, CT, USA",fulltime,8/7/2023,yearly,73500,150000,USD,FALSE,0,,ColleagueRelations@CVSHealth.com,"Bring your heart to CVS Health. Every one of us at CVS Health shares a single, clear purpose: Bringing our heart to every moment of your health. This purpose guides our commitment to deliver enhanced human-centric health care for a rapidly changing world. Anchored in our brand — with heart at its center — our purpose sends a personal message that how we deliver our services is just as important as what we deliver. Our Heart At Work Behaviors™ support this purpose. We want everyone who works at CVS Health to feel empowered by the role they play in transforming our culture and accelerating our ability to innovate and deliver solutions to make health care more personal, convenient and affordable. This role is primarily looking for candidates local to the Hartford, CT area! Position Summary: Want to help build the technical design of a growing consumer outreach platform that delivers over 120MM to consumers annually, enabling them to support and live healthier lives? CPL is a bespoke, homegrown platform that combines traditional software with machine learning and predictive aspects; brought together through sophisticated designs that drive scalability, extensibility, and performance. Additionally, we are in the process of migrating to the cloud. We are looking for a principal level software architect that can help take us to the next generation of design and solutions. Leading the way for a team of close to 50 take our platform forward. As a Software Engineer you will: Build and deliver high quality software to enhance customer and associate experiences Support all phases of software engineering including requirements, analysis, design, coding, testing and deployment while adhering to agile software development methodology. Collaborate with cross-functional teams to deliver integrated solutions that align with the business needs Write clean, scalable, and maintainable code using best practices and design patterns. Perform unit testing, perform integration testing, and participate in code reviews. Required Qualifications: 1+ years designing and building software applications with expertise in one or more modern programming languages such as Java, Python, Javascript 1+ years building production ready solutions in public cloud environments (GCP, Azure, AWS) Preferred Qualifications: Experience in UI Frameworks such as NodeJS, Angular and React is a plus Experience in Container Orchestration Frameworks like Kubernetes, Docker Swarm etc. Working Experience with relational and non-relational databases Familiarity with CI/CD and DevSecOps automation, containerization and maintenance using tools such as Git, Jenkins, Sonar Octopus Experience with open-source toolkits/frameworks Experience working with large datasets Experience in microservice architecture and RESTful Services Knowledge and working experience in agile frameworks like Scrum, Kanban etc. Familiarity in Healthcare / Insurance industry Cloud Certified: GCP or Azure Education: Bachelor’s Degree in Computer Sciences, Data Analytics, Informatics, Information Systems, or related quantitative field This role is primarily looking for candidates local to the Hartford, CT area! Pay Range The typical pay range for this role is: $73,500.00 - $150,000.00 This pay range represents the base hourly rate or base annual full-time salary for all positions in the job grade within which this position falls. The actual base salary offer will depend on a variety of factors including experience, education, geography and other relevant factors. This position is eligible for a CVS Health bonus, commission or short-term incentive program in addition to the base pay range listed above. In addition to your compensation, enjoy the rewards of an organization that puts our heart into caring for our colleagues and our communities. The Company offers a full range of medical, dental, and vision benefits. Eligible employees may enroll in the Company’s 401(k) retirement savings plan, and an Employee Stock Purchase Plan is also available for eligible employees. The Company provides a fully-paid term life insurance plan to eligible employees, and short-term and long term disability benefits. CVS Health also offers numerous well-being programs, education assistance, free development courses, a CVS store discount, and discount programs with participating partners. As for time off, Company employees enjoy Paid Time Off (“PTO”) or vacation pay, as well as paid holidays throughout the calendar year. Number of paid holidays, sick time and other time off are provided consistent with relevant state law and Company policies. For more detailed information on available benefits, please visit jobs.CVSHealth.com/benefits CVS Health requires certain colleagues to be fully vaccinated against COVID-19 (including any booster shots if required), where allowable under the law, unless they are approved for a reasonable accommodation based on disability, medical condition, religious belief, or other legally recognized reasons that prevents them from being vaccinated. You are required to have received at least one COVID-19 shot prior to your first day of employment and to provide proof of your vaccination status or apply for a reasonable accommodation within the first 10 days of your employment. Please note that in some states and roles, you may be required to provide proof of full vaccination or an approved reasonable accommodation before you can begin to actively work. CVS Health is committed to recruiting, hiring, developing, advancing, and retaining individuals with disabilities. As such, we strive to provide equal access to the benefits and privileges of employment, including the provision of a reasonable accommodation to perform essential job functions. CVS Health can provide a request for a reasonable accommodation, including a qualified interpreter, written information in other formats, translation or other services through ColleagueRelations@CVSHealth.com If you have a speech or hearing disability, please call 7-1-1 to utilize Telecommunications Relay Services (TRS). We will make every effort to respond to your request within 48 business hours and do everything we can to work towards a solution."
https://www.indeed.com/viewjob?jk=402029b3eec395e2,indeed,Software Engineer,"The Travelers Companies, Inc.","Hartford, CT, USA",fulltime,8/27/2023,yearly,63000,104000,USD,FALSE,0,,,"Who Are We? Taking care of our customers, our communities and each other. That’s the Travelers Promise. By honoring this commitment, we have maintained our reputation as one of the best property casualty insurers in the industry for over 160 years. Join us to discover a culture that is rooted in innovation and thrives on collaboration. Imagine loving what you do and where you do it. Job Category Technology Compensation Overview The annual base salary range provided for this position is a nationwide market range and represents a broad range of salaries for this role across the country. The actual salary for this position will be determined by a number of factors, including the scope, complexity and location of the role; the skills, education, training, credentials and experience of the candidate; and other conditions of employment. As part of our comprehensive compensation and benefits program, employees are also eligible for performance-based cash incentive awards. Salary Range $63,000.00 - $104,000.00 Target Openings 100 What Is the Opportunity? Innovative thinking, creative problem-solving, and a determination to challenge the status-quo, these are some of the defining qualities for participants of our Engineering Development Program (EDP). The EDP is a one-year program where you will be placed in one of the four designated Engineering tracks: Software, Data, Cybersecurity or Infrastructure & Cloud. Each track is designed to grow and develop your technical and self-leadership skills. Within your assigned track, you will receive a combination of hands-on opportunities, an immersive learning journey, and a mentoring program to prepare you for a dynamic career. You will have the opportunity to explore multiple technologies while learning from different engineers within Travelers. As an EDP participant, you will model the way for others and set a personal example of what is expected. You will be expected to positively challenge processes and identify new and innovative ways to get work done more effectively and efficiently. You will be expected to take initiative, embrace change, actively listen to, and support diverse points of view and celebrate the success of others. What Will You Do? Travelers’ Software Engineers contribute to the overall software design strategy by planning, developing, debugging, testing, troubleshooting, documenting, and implementing software solutions that enable our products, distribution workflows, customer, agent, and employee experiences EDP participants in this track will have duties that vary based on the specific opportunities presented within each experience. These experiences include leveraging modern software engineering and analytic tools and practices, design, deliver, and support state-of-the-art and high performing infrastructure platforms and services enabling business operations and technology solutions. EDP participants in this track will experience an immersive learning journey focused on disruptive technologies, insurance, strategy, leading self and influencing others. Additional program components include mentoring, networking, and career guidance. Perform other duties as assigned. What Will Our Ideal Candidate Have? Cumulative GPA of 3.0 or greater. 3 years or less of technology related experience (may include one or more internship experiences in the Technology field). Exposure to Object-oriented programming (OOP) in one major language. Suggested majors include (but are not limited to): Computer Science, Software Engineering, and Computer Engineering. Self-starter with a strong track record of exploring new technologies, applications, and environments beyond required job and/or educational commitments. Strong track record of taking ownership and responsibility for actions and outcomes, performance, and results. Ability to proactively manage time and prioritize multiple projects simultaneously. Strong collaboration skills with the ability to actively engage with others while maintaining a positive attitude. Ability to work independently and as part of a team. Demonstrated aptitude in identifying current or future problems or opportunities, analyzing data, synthesizing, and comparing information to understand issues, identifying cause/effect relationships, and exploring alternative solutions to support sound decision making. What is a Must Have? An undergraduate or graduate degree with a technology major or minor; or the successful completion of a state-licensed technical bootcamp. Legally authorized to work in the United States now and in the future. What Is in It for You? Health Insurance: Employees and their eligible family members – including spouses, domestic partners, and children – are eligible for coverage from the first day of employment. Retirement: Travelers matches your 401(k) contributions dollar-for-dollar up to your first 5% of eligible pay, subject to an annual maximum. If you have student loan debt, you can enroll in the Paying it Forward Savings Program. When you make a payment toward your student loan, Travelers will make an annual contribution into your 401(k) account. You are also eligible for a Pension Plan that is 100% funded by Travelers. Paid Time Off: Start your career at Travelers with a minimum of 20 days Paid Time Off annually, plus nine paid company Holidays. Wellness Program: The Travelers wellness program is comprised of tools and resources that empower you to achieve your wellness goals. In addition, our Life Balance program provides access to professional counseling services, life coaching and other resources to support your daily life needs. Through Life Balance, you’re eligible for five free counseling sessions with a licensed therapist. Volunteer Encouragement: We have a deep commitment to the communities we serve and encourage our employees to get involved. Travelers has a Matching Gift and Volunteer Rewards program that enables you to give back to the charity of your choice. Employment Practices Travelers is an equal opportunity employer. We believe that we can deliver the very best products and services when our workforce reflects the diverse customers and communities we serve. We are committed to recruiting, retaining and developing the diverse talent of all of our employees and fostering an inclusive workplace, where we celebrate differences, promote belonging, and work together to deliver extraordinary results. If you are a candidate and have specific questions regarding the physical requirements of this role, please send us an email so we may assist you. Travelers reserves the right to fill this position at a level above or below the level included in this posting. To learn more about our comprehensive benefit programs please visit http://careers.travelers.com/life-at-travelers/benefits/ ."
https://www.indeed.com/viewjob?jk=1d6b71afebce898d,indeed,Front End Developer,G-Research,"Stamford, CT, USA",,9/28/2023,,,,,FALSE,0,,,"Location : Stamford, CT G-Research is Europe’s leading quantitative finance research firm. We hire the brightest minds in the world to tackle some of the biggest questions in finance. We pair this expertise with machine learning, big data, and some of the most advanced technology available to predict movements in financial markets. The role We are committed to finding the world's best Engineers, and take the hiring of this type of talent very seriously. As a UI Software Engineer, you will support the build, implementation and ongoing development of the organisation's Treasury capability. Our UIs are written using Angular with Typescript, supported by a server-side platform built using C# .NET Core running on Kubernetes. We utilise modern web, distributed and big data technologies, meaning we have a broad range of software engineering challenges for the right person. This is an opportunity to be part of our journey to build a world-leading software engineering practice. We are working hard to embed a continuous improvement culture and philosophy across the organisation, striving to learn from the best practitioners in the industry. This role will suit an Engineer who is looking to contribute to the operational success of a leading quantitative finance research firm by creating well-designed and efficient user interfaces, ranging from reports and charting for senior management, to interactive tooling for daily operational activities. Examples of projects that the team are working on include: Developing a Treasury dashboard to bring together the financial data required to manage the daily cash flows, financing, inventory, margin management and excess capital Creating a plug-and-play architecture for onboarding new data sets for reporting and data investigation, including saving and sharing user preferences, data drill down, charting and alerting Building interactive tooling to enable trade entry, cash transfer approvals, reconciliation of margin and financing calculations Who are we looking for? The ideal candidate will have the following skills and experience: Front end experience using Typescript with Angular, React or similar An appreciation of good software architecture, computer science fundamentals, data structures and CI/CD A genuine interest in software technology Intellectual curiosity and a desire to learn about the Treasury space within quantitative finance, and engineering skills to support its continual development within the business Financial knowledge is beneficial, but this is not a requirement Why should you apply? Market-leading compensation plus annual discretionary bonus Excellent paid time off allowance Generous 401(k) plan Medical, Dental and Vision insurance Informal dress code and excellent work/life balance Parental leave Life and Accidental Death & Dismemberment (AD&D) insurance Substantial relocation allowance and support Great selection of office snacks, and hot and cold drinks G-Research is committed to cultivating and preserving an inclusive work environment. We are an ideas-driven business and we place great value on diversity of experience and opinions. We want to ensure that applicants receive a recruitment experience that enables them to perform at their best. If you have a disability or special need that requires accommodation please let us know in the relevant section."
https://www.indeed.com/viewjob?jk=0dd5caf81c27c40b,indeed,Data Analyst,Pratt & Whitney,"East Hartford, CT, USA",fulltime,10/6/2023,,,,,TRUE,0,,,"Date Posted: 2023-10-05 Country: United States of America Location: PW100: East Hartford 400 Main Street, East Hartford, CT, 06118 USA Position Role Type: Remote Pratt & Whitney is working to once again transform the future of flight—designing, building and servicing engines unlike any the world has ever seen. And because transformation begins from within, we’re seeking the people to drive it. So, calling all curious. Come ready to explore and you’ll find a place where your talent takes flight—beyond the borders of title, a country or your comfort zone. Bring your passion and commitment and we’ll welcome you into a tight-knit team that takes our mission personally. Channel your drive to make a difference into shaping an organization and an industry that’s evolving fast to the future. Innovation through diversity of thought. At Pratt & Whitney, we believe diversity of thought enables creativity, innovation, and a foundation for inclusion. By fostering an inclusive culture, we accept a shared accountability and responsibility to recognize, sponsor, coach, hire and promote talent equally. We welcome our employees to be their whole - best - selves at work because trust, respect and integrity, are a part of our DNA. At Pratt & Whitney, the difference you make is on display every day. Just look up. Are you ready to go beyond? Job Summary: We are seeking a highly motivated Enterprise Analytics Data Analyst to join our team. As a member of the Enterprise Analytics team, you will be working with a multi-disciplinary team to solve highly complex business problems. In this highly visible role, you will be the part of the team’s front line, addressing the needs of the business partners and the general P&W analytics community. You will be responsible for working directly with our business partners to understand requirements, developing coding logic, creating visualizations, and delivering analytics solutions to solve business problems. This is a high performing, highly collaborative team, and successful candidates will be self-motivated, team-oriented individuals who are interested in using data to drive change. Key Responsibilities: Develop innovative analytics solutions that can be scaled and adapted throughout the company Role includes a both technical aspect and an enablement support aspect to continue to drive the adoption of analytics at P&W Supporting & addressing the needs of the business partners & the P&W analytics community You will develop & own products utilizing our team’s BI tool (primarily Qlik Sense and/or Power BI) to support data-driven decision making for our business partners You will be responsible for working directly with our business partners to understand requirements, developing coding logic, creating visualizations, and delivering analytics solutions to solve business problems. You will work in a collaborative environment with other teams working on data management, and analytics platform management activities Responsible for creating and maintaining documentation for products that are built, and following team processes for development and documentation Collaborate in a Lean, Agile team structure to design, develop, test, implement, and support technical solutions. Basic Qualifications: Must be a U.S. Citizen. This position may require access to systems/tools that are restricted to individuals who possess US citizenship. Bachelor’s degree in a quantitative discipline. i.e., Engineering, Computer Science, MIS, Economics, Math. Other degrees acceptable with an appropriate background in analytics. Preferred Qualifications: Exposure and interest in Business Intelligence tools, including but not limited to Qlik Sense, PowerBI, Tableau & more. Familiarity with SQL, database concepts, waterfall and agile software delivery practices and expectations. Interest in other analytics tools- including but not limited to R, Python, Django, Flask, React, Java, HTML, CSS, and more. Ability to prioritize and work autonomously and with team to ensure project vision and schedules align and is well communicated. Self-motivated, business partner focused, able to adapt to changing priorities and excels at building relationships and networks Strategic thinker, data-driven and analytical in approach to solving problems while exhibiting effective decision-making and excellent time management skills Strong written and verbal communicator; good listening skills with aptitude for tactfully challenging the norm Minimum GPA of 3.0 preferred. What is my role type? In addition to transforming the future of flight, we are also transforming how and where we work. We’ve introduced role types to help you understand how you will operate in our blended work environment. This role is: Remote: Employees who are working in Remote roles will work primarily offsite (from home). Candidates will learn more about role type and current site status throughout the recruiting process. For onsite and hybrid roles, commuting to and from the assigned site is the employee’s personal responsibility. The salary range for this role is 52,000 USD - 98,000 USD; however, RTX considers several factors when extending an offer, including but not limited to, the role and associated responsibilities, a candidate’s work experience, location, education/training, and key skills. Hired applicants may be eligible for benefits, including but not limited to, medical, dental, vision, life insurance, short-term disability, long-term disability, 401(k) match, flexible spending accounts, flexible work schedules, employee assistance program, Employee Scholar Program, parental leave, paid time off, and holidays. Specific benefits are dependent upon the specific business unit as well as whether or not the position is covered by a collective-bargaining agreement. Hired applicants may be eligible for annual short-term and/or long-term incentive compensation programs depending on the level of the position and whether or not it is covered by a collective-bargaining agreement. Payments under these annual programs are not guaranteed and are dependent upon a variety of factors including, but not limited to, individual performance, business unit performance, and/or the company’s performance. RTX is An Equal Opportunity/Affirmative Action Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability or veteran status, age or any other federally protected class. Privacy Policy and Terms: Click on this link to read the Policy and Terms"
https://www.indeed.com/viewjob?jk=e6775947fb8ef289,indeed,Software Engineer,General Dynamics Electric Boat,"Groton, CT, USA",fulltime,10/18/2023,,,,,FALSE,0,,,"Overview: General Dynamics Electric Boat is the world’s foremost designer and builder of nuclear submarines, the most complex machines made by man. The company’s industry leadership extends back over a century to 1899 when it produced the U.S. Navy's first commissioned undersea warship. Today, Electric Boat prides itself on being the premier shipbuilding company in the industry. We develop and apply state of the art technology to the design and construction of nuclear powered submarines. With a team of highly skilled and dedicated employees, we have successfully taken submarine technology to a new level. Job Description: The IT Software Engineering Group is seeking a highly motivated software engineer to support the evaluation, development and deployment of new IT technologies at Electric Boat (EB). The group's objective is to develop and deploy computer-aided automation tools to maximize the net savings to the company. The group is predominantly working on the development of custom automation within EB's newest CAD and PLM tool (this consists of developing automated CAD views, labels and dimensions, design and manufacturing interfaces, rules based automations, etc). Responsibilities include: Requirement analysis and design for software application Development of software applications (typically Java applications) Testing and maintenance of various software applications Investigation of advanced IT and software development technologies Qualifications: Required: Bachelor of Science Degree in Computer Engineering, Software Engineering, Computer Science or equivalent technical degree 1 year of programming experience (internship or college projects included, preferred java) Internal candidates must come from organizations outside of Operations (Casciano/Gabriel) Skills: Skills: Skills in Java, along with relational and object-oriented databases Frontend and/or backend web application development Ability to work on a team or independently Strong verbal and written communication skills Must be self-motivated"
https://www.indeed.com/viewjob?jk=4cb7eb14cab9b546,indeed,Software Engineer,Danbury Mission Technologies,"Danbury, CT, USA",fulltime,10/11/2023,,,,,FALSE,0,,,"Danbury Mission Technologies is part of the ARKA Group, L.P. ARKA stands for more than creating better technology. We believe in building a better world. Built on a diversity of people, ideas and thoughts, we develop the technologies and projects that have a meaningful impact for a more certain, sustainable world of opportunity for everyone. Position Overview: As a Software Engineering Co-op, you will provide prototyping, coding, testing, scripting and document generation in support of software development activities. You will perform data analysis using proprietary software systems in support of on-going contracts, and develop automation software for program-specific data flows on those contracts. You will also develop breadboard implementations of algorithms in MatLab or Mathematica environments based upon mathematical descriptions of algorithm approaches in order to come up with creative solutions to problems. You will benefit from working side by side with a talented and experienced group of professionals eager to mentor. Responsibilities: In this position, you will be responsible for: Algorithm prototyping Code development in C# and Python Software test development Requirements, test plan, and release documentation generation and updates Data processing Education Requirements: Completion of at least one year towards a Bachelor’s degree in Computer Science, Computer Engineering, Mathematics, Physics or related field Experience Required: Development of moderate-sized desktop applications in a Windows environment using a C-based language (C++, C#, Java) MatLab, Mathematica, Python or equivalent mathematical modeling tools Strong mathematics background including completion of calculus and linear algebra courses Collaborating with world class experts, you will have the opportunity to develop innovative solutions in fulfillment of our customers’ requirements. We believe in our mission, and we believe in supporting our employees. We offer policies and programs that provide opportunities for continual learning, career growth and work/life balance along with a full suite of health and welfare benefits. This position requires the incumbent to access export-controlled information. If you are not a US Person, any offer is contingent upon the Company's ability to obtain a special license granting you access. This could take several months. You will not be able to begin employment until such license is obtained. No visa sponsorship is available for this position. Danbury Mission Technologies is an Equal Opportunity/Affirmative Action Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability or veteran status, age or any other federally protected class. Equal Opportunity Employer/Protected Veterans/Individuals with Disabilities The contractor will not discharge or in any other manner discriminate against employees or applicants because they have inquired about, discussed, or disclosed their own pay or the pay of another employee or applicant. However, employees who have access to the compensation information of other employees or applicants as a part of their essential job functions cannot disclose the pay of other employees or applicants to individuals who do not otherwise have access to compensation information, unless the disclosure is (a) in response to a formal complaint or charge, (b) in furtherance of an investigation, proceeding, hearing, or action, including an investigation conducted by the employer, or (c) consistent with the contractor’s legal duty to furnish information. 41 CFR 60-1.35(c)"
